app,category,scenario,actions,targets
a52,Tip Calculator,b52,5,2.5
a52,Tip Calculator,b52,7,3.3333333333333335
a53,Tip Calculator,b51,0,0.0
a53,Tip Calculator,b51,1,1.0
a53,Tip Calculator,b51,2,2.0
a53,Tip Calculator,b51,24,4.0
a53,Tip Calculator,b51,3,3.0
a53,Tip Calculator,b52,0,0.0
a53,Tip Calculator,b52,1,1.0
a53,Tip Calculator,b52,2,2.0
a53,Tip Calculator,b52,24,4.5
a53,Tip Calculator,b52,3,3.0
a53,Tip Calculator,b52,30,4.666666666666667
a53,Tip Calculator,b52,35,4.833333333333333
a53,Tip Calculator,b52,6,4.0
a54,Tip Calculator,b51,0,0.0
a54,Tip Calculator,b51,28,1.3333333333333333
a54,Tip Calculator,b51,4,0.3333333333333333
a54,Tip Calculator,b51,41,1.6666666666666667
a54,Tip Calculator,b51,42,2.0
a54,Tip Calculator,b51,44,2.3333333333333335
a54,Tip Calculator,b51,62,2.6666666666666665
a54,Tip Calculator,b51,82,3.0
a54,Tip Calculator,b51,9,1.0
a54,Tip Calculator,b52,0,0.0
a54,Tip Calculator,b52,1,0.8
a54,Tip Calculator,b52,10,2.6
a54,Tip Calculator,b52,2,1.0
a54,Tip Calculator,b52,24,2.8
a54,Tip Calculator,b52,29,3.0
a54,Tip Calculator,b52,3,1.6
a54,Tip Calculator,b52,43,3.2
a54,Tip Calculator,b52,49,3.4
a54,Tip Calculator,b52,51,3.6
a54,Tip Calculator,b52,55,3.8
a54,Tip Calculator,b52,7,1.8
a54,Tip Calculator,b52,72,4.0
a54,Tip Calculator,b52,8,2.4
a55,Tip Calculator,b51,0,0.0
a55,Tip Calculator,b51,1,0.6666666666666666
a55,Tip Calculator,b51,12,2.6666666666666665
a55,Tip Calculator,b51,13,3.0
a55,Tip Calculator,b51,6,1.0
a55,Tip Calculator,b51,7,1.3333333333333333
a55,Tip Calculator,b51,8,1.6666666666666667
a55,Tip Calculator,b51,9,2.3333333333333335
a55,Tip Calculator,b52,0,0.0
a55,Tip Calculator,b52,104,4.0
a55,Tip Calculator,b52,13,1.8
a55,Tip Calculator,b52,17,2.0
a55,Tip Calculator,b52,18,2.6
a55,Tip Calculator,b52,19,2.8
a55,Tip Calculator,b52,23,3.0
a55,Tip Calculator,b52,24,3.2
a55,Tip Calculator,b52,29,3.4
a55,Tip Calculator,b52,56,3.6
a55,Tip Calculator,b52,6,0.8
a55,Tip Calculator,b52,64,3.8
a55,Tip Calculator,b52,9,1.6
